"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2.8,0,2.2,1.5,0,0,0,1.9,0,0,0,NA,1.8,0,NA,0,0.8,NA,0,1.9,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,0,0,0,0,0,0,1.6,0,0,2.2,3.2,0,0,4.3,1.9,0,2.5,0,NA,0,0,NA,0,0.1,NA,1.5,7.1,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.6,1.4,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0.1,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,3,1.9,0,0,0,NA,3.7,0,NA,0.8,1.3,NA,0,7.1,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2.6,2.2,0,0,0,1.1,1.8,0,1.5,0,NA,0.9,2.1,NA,0,0,NA,0,7.4,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.8,1,0,2.2,0,0,0,3.6,1.9,0,6.9,0,NA,0,1.1,NA,1.5,0,NA,0.9,1.9,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.2,0,0,0,1.2,1.9,0,0,0,NA,1.6,0,NA,0,0.1,NA,0,0,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.8,0,0,2.2,0,0,0,1.3,1.9,0,0,3.5,NA,0,0,NA,0,0,NA,3.5,7.4,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,3,1.9,0,0,0,NA,3.7,0,NA,0.8,1.3,NA,0,7.4,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5,0,0,0,0,5.8,2.6,0,2.2,0,0,0,2.4,1.9,0,1.4,0,NA,0,0,NA,0,0.1,NA,0,7.1,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.9,0,0,2.2,0,0,0,0,1.9,0,0,0,NA,0,0,NA,0.1,2,NA,0,0.3,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.6,1,2.7,0,2.2,0,0,0,6.1,1.9,3,1.5,0,NA,0.9,1.1,NA,2.9,0,NA,0.2,0,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.9,1.2,0,2.2,0,0,0,1.8,1.9,0,0,0,NA,2,0.9,NA,0,2,NA,0,0.3,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,4,0,1.4,0,0,1,0,0,0,0,6.1,0,0,0,1.1,1.1,0,0,0,0,1.5,0,NA,1.3,0,NA,0,0.1,NA,0.2,0.1,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9,0,0,0,0,0,0,0,0,2.4,1.1,0,2.5,NA,0,0,NA,0,0,NA,0,6.9,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,4,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,1.9,0,0,0,NA,0,1.6,NA,2.7,0.1,NA,0,7.1,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.4,3.4,0,0,0,2.9,0,0,NA,0,0,NA,2.3,4.3,NA,0,0,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
