"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25.3,22.6,23.3,27,17.1,27.2,24.4,29.6,24.4,20.8,22.1,28.1,25.5,NA,25.5,24.4,NA,25.3,19.5,NA,24.1,27.3,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,20.2,22.8,27.5,21.4,21.4,14.8,19.9,25.3,26.1,25.3,22.6,19.1,27,17.1,22.2,24.4,29.6,21.6,20.8,22.1,20,25.5,NA,20.3,20.4,NA,23.4,19.1,NA,25.6,31,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,27,24.4,13.3,25.8,22.3,25.3,26.1,20.1,19.8,19.2,19.1,20.2,20.4,NA,23.7,22.6,NA,16.7,21.7,NA,20.4,23.7,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25.3,22.6,21.7,21.4,21.4,18.8,24.4,29.6,37.8,20.8,22.1,22.8,25.5,NA,17.7,20.4,NA,23.8,22.9,NA,20,31,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,21.7,20.1,9.2,19.4,17.1,15.5,20.1,12.8,18.1,16.2,20,24.6,25.5,NA,17.8,16.6,NA,15.8,21.7,NA,22.7,35,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25.3,22.6,22.1,27,17.1,21.5,24.4,29.6,28.7,20.8,22.1,27.2,25.5,NA,28.1,30.6,NA,27.5,24.9,NA,25,27.3,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25.3,22.6,19.1,27,17.1,21.7,24.4,29.6,21.2,20.8,22.1,16.5,25.5,NA,20.3,20.4,NA,20.6,19.1,NA,23.8,26.9,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25.3,22.6,22.1,21.8,17.1,25.7,24.4,29.6,26.8,20.8,22.1,25.1,24.3,NA,26.6,24.6,NA,23.8,23.3,NA,36.1,35,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,20.8,22.8,23.8,23.4,23.4,14.8,14.8,25.9,26.1,25.3,22.6,21.7,21.4,21.4,18.8,24.4,29.6,37.8,20.8,22.1,22.8,25.5,NA,17.7,20.4,NA,23.8,22.9,NA,20,35,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,20.1,22.8,23.6,21.4,21.4,21.2,19.9,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
